number,title,URL,type,filing_date,status,last_updated,initiator_type,initiators,committee,committees,convocation
5089,"Проект Закону про внесення змін до деяких законодавчих актів щодо державної підтримки дітей, які постійно проживають в зоні проведення антитерористичної операції у населених пунктах, що розташовані на лінії зіткнення",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59948,law,2016-09-07,Закон підписано,2017-03-02,deputy,"19537,71,22207,151,22370,21763,228,232,26308,22288,25932,25916,25919,21649",Комітет з питань науки і освіти,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань прав людини, національних меншин і міжнаціональних відносин|Комітет з питань сім’ї, молодіжної політики, спорту та туризму",Верховна Рада 8
5074,"Проект Закону про внесення змін до Закону України ""Про Державний бюджет України на 2016 рік"" щодо використання кредиту Уряду Республіки Польща на умовах пов'язаної допомоги",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59931,law,2016-09-06,Закон підписано,2016-10-18,cabmin,26303,Комітет з питань бюджету,Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань фінансової політики і банківської діяльності,Верховна Рада 8
5067,Проект Закону про внесення змін до деяких законодавчих актів України щодо вдосконалення державної реєстрації прав на нерухоме майно та захисту прав власності,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59923,law,2016-09-05,Закон підписано,2016-10-28,deputy,"18549,21421,24618,71,101,120,25929,145,25945,175,26316,200,203,26328,300,307,25047,329,25934,397",Комітет з питань економічної політики,"Комітет з питань бюджету|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань європейської інтеграції|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань інформатизації та зв’язку|Комітет з питань культури і духовності|Комітет з питань правової політики та правосуддя|Комітет з питань промислової політики та підприємництва|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",Верховна Рада 8
0108,Проект Закону про ратифікацію Угоди між Кабінетом Міністрів України та Урядом Держави Ізраїль про тимчасове працевлаштування українських працівників в окремих галузях на ринку праці Держави Ізраїль,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59911,law,2016-08-31,Закон підписано,2016-11-23,cabmin,26303,Комітет у закордонних справах,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",Верховна Рада 8
5050,Проект Закону про внесення змін до Податкового кодексу України (щодо уточнення окремих положень про оподаткування неприбуткових організацій),http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59906,law,2016-08-30,Закон підписано,2016-11-18,deputy,"21022,20489,22045,25033,25932,329,19644",Комітет з питань податкової та митної політики,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань культури і духовності,Верховна Рада 8
5045,"Проект Закону про внесення змін до деяких законодавчих актів України щодо захисту житлових прав дітей-сиріт та дітей, позбавлених батьківського піклування, та осіб з їх числа",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59901,law,2016-08-26,Закон підписано,2018-02-23,cabmin,26303,"Комітет з питань сімʼї, молодіжної політики, спорту та туризму","Комітет з питань будівництва, містобудування і житлово-комунального господарства|Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції",Верховна Рада 8
0107,Проект Закону про ратифікацію Угоди між Кабінетом Міністрів України та Урядом Республіки Польща про взаємну охорону інформації з обмеженим доступом,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59873,law,2016-08-09,Закон підписано,2016-10-13,cabmin,26303,Комітет з питань європейської інтеграції,Комітет з питань бюджету|Комітет з питань запобігання і протидії корупції|Комітет з питань інформатизації та зв’язку|Комітет з питань національної безпеки і оборони|Комітет у закордонних справах,Верховна Рада 8
5008,Проект Закону про внесення змін до деяких законів України (щодо створення друкованих засобів масової інформації Міністерством оборони України та військово-цивільними адміністраціями на час проведення антитерористичної операції),http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59860,law,2016-07-29,Закон підписано,2017-06-12,deputy,"25027,25029",Комітет з питань свободи слова та інформаційної політики,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань національної безпеки і оборони,Верховна Рада 8
0106,"Проект Закону про ратифікацію Фінансової угоди (Проект ""Основний кредит для аграрної галузі - Україна"") між Україною та Європейським інвестиційним банком",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59853,law,2016-07-28,Закон підписано,2016-10-12,president,325,Комітет у закордонних справах,Комітет з питань аграрної політики та земельних відносин|Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань фінансової політики і банківської діяльності,Верховна Рада 8
4046а,Проект Закону про Державну програму авіаційної безпеки цивільної авіації,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59848,law,2016-07-22,Закон підписано,2017-04-10,cabmin,26303,Комітет з питань транспорту,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань національної безпеки і оборони|Комітет з питань правової політики та правосуддя,Верховна Рада 8
4022а,"Проект Закону про внесення зміни до статті 3 Закону України ""Про свободу пересування та вільний вибір місця проживання в Україні""",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59793,law,2016-07-15,Закон підписано,2017-04-13,deputy,"19690,25922,280,307,402","Комітет з питань прав людини, національних меншин і міжнаціональних відносин",Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя,Верховна Рада 8
4015а,Проект Закону про внесення змін до Бюджетного кодексу України щодо удосконалення механізму фінансування дорожньої галузі,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59785,law,2016-07-15,Закон підписано,2016-12-08,deputy,"21421,26315,24620,23868,27,23233,51,23335,25036,60,25034,26337,22824,19537,81,24213,18540,22474,103,22442,16494,21990,20431,120,23759,145,23673,153,25039,162,25920,23307,26311,25046,18536,25918,21913,18675,20209,20526,22370,20994,19173,23252,24146,19139,266,269,23279,293,295,301,23263,307,24189,317,323,21822,21366,24622,24392,22401,21311,25919,22705,23598,23406,1812,422,1889,24140,18542,20427,443",Комітет з питань бюджету,"Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань податкової та митної політики|Комітет з питань правової політики та правосуддя|Комітет з питань транспорту",Верховна Рада 8
4014а,"Проект Закону про внесення змін до Закону України ""Про джерела фінансування дорожнього господарства України"" щодо удосконалення механізму фінансування дорожньої галузі",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59784,law,2016-07-15,Закон підписано,2016-12-08,deputy,"21421,26315,24620,23868,27,23233,51,23335,25036,60,25034,26337,22824,19537,81,24213,22474,103,22442,16494,21990,20431,120,23759,145,23673,153,25039,162,25920,23307,26311,25046,18536,25918,21913,18675,20209,18753,20526,22370,20994,232,19173,23252,24146,24108,19139,266,269,23279,293,295,301,23263,307,24189,317,323,21822,21366,24622,22401,21311,368,25919,22705,388,23598,1812,422,1889,24140,18542,20427,443",Комітет з питань транспорту,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань податкової та митної політики|Комітет з питань правової політики та правосуддя",Верховна Рада 8
4997,Проект Закону про внесення змін до деяких законодавчих актів України у зв'язку із запровадженням патронату над дитиною,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59761,law,2016-07-14,Закон підписано,2016-11-07,cabmin,26303,"Комітет з питань сімʼї, молодіжної політики, спорту та туризму","Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",Верховна Рада 8
4995,"Проект Закону про внесення змін до законодавчих актів України з питань забезпечення жилими приміщеннями військовослужбовців та членів сімей військовослужбовців, які загинули під час виконання обов'язків військової служби",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59759,law,2016-07-14,Закон підписано,2017-12-07,cabmin,26303,Комітет з питань національної безпеки і оборони,"Комітет з питань будівництва, містобудування і житлово-комунального господарства|Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",Верховна Рада 8
4970,Проект Закону про внесення змін до Бюджетного кодексу України (щодо оплати послуг патронатних вихователів),http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59705,law,2016-07-13,Закон підписано,2016-12-27,cabmin,26303,Комітет з питань бюджету,"Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань науки і освіти|Комітет з питань сім’ї, молодіжної політики, спорту та туризму|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",Верховна Рада 8
0105,Проект Закону про ратифікацію Паризької угоди,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59666,law,2016-07-13,Закон підписано,2016-08-01,president,325,Комітет у закордонних справах,"Комітет з питань бюджету|Комітет з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції",Верховна Рада 8
4952,Проект Закону про внесення змін до деяких законів України у зв'язку з ратифікацією Конвенції Ради Європи про запобігання насильству стосовно жінок і домашньому насильству та боротьбу з цими явищами,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59648,law,2016-07-12,Закон підписано,2018-01-09,deputy,"25921,22,24417,25941,27,26302,1058,40,51,25922,25037,22012,71,24213,25914,18445,25032,26306,140,151,25945,188,26314,222,228,232,24146,253,256,263,269,25946,280,24872,23207,24392,25917,25924,382,22705,21649,26312,23406,20427",Комітет з питань законодавчого забезпечення правоохоронної діяльності,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань прав людини, національних меншин і міжнаціональних відносин|Комітет з питань правової політики та правосуддя|Комітет з питань сімʼї, молодіжної політики, спорту та туризму|Комітет у закордонних справах",Верховна Рада 8
4928,Проект Закону про внесення змін до деяких законодавчих актів України щодо покращення захисту права дитини на належне утримання,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59596,law,2016-07-08,Закон підписано,2017-06-06,deputy,"25034,301,24189,25047,25943,21629,19150","Комітет з питань сімʼї, молодіжної політики, спорту та туризму",Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань податкової та митної політики|Комітет з питань правової політики та правосуддя,Верховна Рада 8
0103,Проект Закону про ратифікацію Угоди між Кабінетом Міністрів України та Урядом Держави Ізраїль щодо працевлаштування членів сім'ї співробітника дипломатичного представництва або консульської установи,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59611,law,2016-07-08,Закон підписано,2016-10-12,cabmin,26303,Комітет у закордонних справах,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",Верховна Рада 8
4901,Проект Закону про комерційний облік комунальних послуг,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59553,law,2016-07-06,Закон підписано,2017-07-28,deputy,"7,25921,26326,22012,24213,20598,26317,115,18546,25052,25054,127,26323,18450,25042,21022,18510,23307,25046,19139,18512,25047,20801,338,26677,19754,26319,368,18509,21649,422,24140","Комітет з питань будівництва, містобудування і житлово-комунального господарства","Комітет з питань бюджету|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи|Комітет з питань європейської інтеграції|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань промислової політики та підприємництва",Верховна Рада 8
4878,"Проект Закону про внесення змін до статті 9 Закону України ""Про соціальний і правовий захист військовослужбовців та членів їх сімей"" (щодо забезпечення рівності прав військовослужбовців на грошове забезпечення)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59519,law,2016-07-01,Закон підписано,2016-09-28,deputy,"71,151,188,228,26312",Комітет з питань національної безпеки і оборони,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення|Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю",Верховна Рада 8
0102,"Проект Закону про внесення зміни до Закону України ""Про ратифікацію Конвенції про права інвалідів і Факультативного протоколу до неї""",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59500,law,2016-06-29,Закон підписано,2016-09-28,cabmin,26303,Комітет у закордонних справах,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення|Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю",Верховна Рада 8
4865,"Проект Закону про внесення змін до Закону України ""Про Державний бюджет України на 2016 рік"" (щодо збільшення видатків Центральній виборчій комісії)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59494,law,2016-06-23,Закон підписано,2016-07-15,deputy,26325,Комітет з питань бюджету,Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя,Верховна Рада 8
3822-д,"Проект Закону про внесення змін до Закону України ""Про телебачення і радіомовлення"" (щодо частки пісень державною мовою в музичних радіопрограмах і радіопередачах)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59423,law,2016-06-16,Закон підписано,2016-07-07,deputy,"1,25035,188,26313,25933,24872,305,26334,18481,25049,25027,26320,26333",Комітет з питань свободи слова та інформаційної політики,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань культури і духовності,Верховна Рада 8
4815,"Проект Закону про внесення змін до Закону України ""Про телебачення і радіомовлення"" (щодо удосконалення процедури застосування санкцій Національною Радою)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59409,law,2016-06-15,Закон підписано,2016-11-25,deputy,"24620,150,25933,24392,26334,25026,26333",Комітет з питань свободи слова та інформаційної політики,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань промислової політики та підприємництва,Верховна Рада 8
4809,Проект Закону про внесення змін до деяких законодавчих актів України щодо створення умов для міжнародної кооперації суб'єктів літакобудування та розвитку вітчизняного літакобудування,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59399,law,2016-06-14,Закон підписано,2016-08-03,deputy,"34323,24618,21554,21990,22207,25945,25048,200,19139,22401,23406",Комітет з питань промислової політики та підприємництва,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань національної безпеки і оборони|Комітет з питань транспорту,Верховна Рада 8
4795,Проект Закону про внесення змін до деяких законів України щодо Сил спеціальних операцій Збройних Сил України,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59372,law,2016-06-09,Закон підписано,2016-07-26,deputy,"27,21135,19537,26317,25920,18456,204,18753,26330,26673,25026,25029,26312,20459",Комітет з питань національної безпеки і оборони,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань культури і духовності,Верховна Рада 8
4784,"Проект Закону про внесення змін до Закону України ""Про забезпечення організаційно-правових умов соціального захисту дітей-сиріт та дітей, позбавлених батьківського піклування"" щодо наставництва над дітьми-сиротами та дітьми, позбавленими батьківського піклування",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59338,law,2016-06-06,Закон підписано,2016-10-05,president,325,"Комітет з питань сімʼї, молодіжної політики, спорту та туризму","Комітет з питань бюджету|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань охорони здоровʼя|Комітет з питань правової політики та правосуддя",Верховна Рада 8
4772,Проект Закону про внесення змін до деяких законодавчих актів України (щодо добровільного приєднання територіальних громад),http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59314,law,2016-06-03,Закон підписано,2017-03-17,deputy,"18544,25914,26317,103,23730,20393,25930,151,25920,25918,18456,203,18444,228,24108,25936,19641,20801,18509,399,1812,420,26675,20427","Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування",Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя,Верховна Рада 8
4733-1,Проект Закону про внесення змін до деяких законодавчих актів України щодо удосконалення містобудівної діяльності,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59319,law,2016-06-03,Закон підписано,2017-02-08,deputy,"7,26337,22012,26676,151,153,18510,25048,19641,340,24621,18509,25919,24140","Комітет з питань будівництва, містобудування і житлово-комунального господарства","Комітет з питань бюджету|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань європейської інтеграції|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань фінансової політики і банківської діяльності",Верховна Рада 8
4744,"Проект Закону про внесення змін до Закону України ""Про Державний бюджет України на 2016 рік"" (щодо державної підтримки державних вугледобувних підприємств на часткове покриття витрат із собівартості готової товарної вугільної продукції)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59271,law,2016-06-01,Закон підписано,2016-12-27,deputy,23233,Комітет з питань бюджету,"Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань промислової політики та підприємництва",Верховна Рада 8
4742,"Проект Закону про внесення змін до деяких законодавчих актів України (щодо статусу старости села, селища)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59269,law,2016-06-01,Закон підписано,2017-03-09,deputy,"20495,50,23730,18456,24146,23279,20801,26338,26675,20864","Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування",Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя,Верховна Рада 8
4734,Проект Закону про судоустрій і статус суддів,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59259,law,2016-05-30,Закон підписано,2016-07-13,president,325,Комітет з питань правової політики та правосуддя,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції,Верховна Рада 8
4726,"Проект Закону про внесення змін до пункту 1 розділу II ""Прикінцеві положення"" Закону України ""Про внесення змін до деяких законів України щодо вдосконалення системи державного управління у книговидавничій сфері",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59246,law,2016-05-27,Закон підписано,2016-11-03,cabmin,26303,Комітет з питань культури і духовності,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції,Верховна Рада 8
4724,Проект Закону про антидопінговий контроль у спорті,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59243,law,2016-05-27,Закон підписано,2017-03-02,cabmin,26303,"Комітет з питань сімʼї, молодіжної політики, спорту та туризму",Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань охорони здоровʼя|Комітет у закордонних справах,Верховна Рада 8
4723,"Проект Закону про внесення змін до додатка № 3 до Закону України ""Про Державний бюджет України на 2016 рік"" (щодо видатків Міністерства з питань тимчасово окупованих територій та внутрішньо переміщених осіб)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59235,law,2016-05-26,Закон підписано,2016-07-15,cabmin,26303,Комітет з питань бюджету,Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя,Верховна Рада 8
4718,"Проект Закону про внесення змін до деяких законодавчих актів України щодо діяльності вищих навчальних закладів (наукових установ), які були переміщені з тимчасово окупованої території та з населених пунктів, на території яких органи державної влади тимчасово не здійснюють свої повноваження",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59220,law,2016-05-24,Закон підписано,2016-11-25,deputy,"25922,24618,19537,71,22207,26306,25042,170,18536,20376,222,22370,26308,280,307,26677,25916,24051,26674,26675,20427",Комітет з питань науки і освіти,"Комітет з питань будівництва, містобудування і житлово-комунального господарства|Комітет з питань бюджету|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань податкової та митної політики|Комітет з питань прав людини, національних меншин і міжнаціональних відносин|Комітет з питань правової політики та правосуддя|Комітет з питань промислової політики та підприємництва",Верховна Рада 8
4555-1,"Проект Закону про внесення змін до Закону України ""Про альтернативні джерела енергії"" щодо віднесення теплових насосів до обладнання, яке використовує відновлювані джерела енергії",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59202,law,2016-05-23,Закон підписано,2016-12-08,deputy,"20,27,23233,25935,115,25042,1842,18675,25939,26677,21009","Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки",Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції,Верховна Рада 8
4685,Проект Закону про електронні довірчі послуги,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59139,law,2016-05-17,Закон підписано,2017-11-06,cabmin,26303,Комітет з питань інформатизації та звʼязку,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань національної безпеки і оборони|Комітет з питань правової політики та правосуддя|Комітет з питань фінансової політики і банківської діяльності,Верховна Рада 8
4680,"Проект Закону про внесення змін до статті 13 Закону України ""Про особливості здійснення права власності у багатоквартирному будинку""",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59132,law,2016-05-17,Закон підписано,2016-07-02,deputy,"7,25921,22012,142,18510,20209,19934,24146,19641,19754,24621,18509,24140","Комітет з питань будівництва, містобудування і житлово-комунального господарства",Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції,Верховна Рада 8
4679,"Проект Закону про внесення змін до ""Прикінцевих положень"" Закону України ""Про внесення змін до деяких законодавчих актів України щодо запровадження контрактної форми роботи у сфері культури та конкурсної процедури призначення керівників державних та комунальних закладів культури""",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59130,law,2016-05-17,Закон підписано,2016-11-03,deputy,"179,23207",Комітет з питань культури і духовності,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",Верховна Рада 8
4668,Проект Закону про внесення змін до деяких законодавчих актів України щодо надання допомоги на дітей померлого годувальника,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59104,law,2016-05-16,Закон підписано,2017-03-02,deputy,"49,25922,25030,25032,102,111,18546,25052,18502,179,25038,18536,227,20572,397","Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення","Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань науки і освіти|Комітет з питань сім’ї, молодіжної політики, спорту та туризму|Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю",Верховна Рада 8
4386-д,Проект Закону про внесення змін до Бюджетного кодексу України щодо зарахування окремих адміністративних зборів до місцевих бюджетів,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59062,law,2016-05-12,Закон підписано,2016-10-03,deputy,"21421,18363,25918,21972,24108,295,19641,431",Комітет з питань бюджету,,Верховна Рада 8
0101,Проект Закону про ратифікацію Угоди між Кабінетом Міністрів України та Урядом Грецької Республіки про повітряне сполучення,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=59077,law,2016-05-12,Закон підписано,2016-07-07,cabmin,26303,Комітет з питань європейської інтеграції,Комітет з питань бюджету|Комітет з питань запобігання і протидії корупції|Комітет з питань транспорту|Комітет у закордонних справах,Верховна Рада 8
