number,title,URL,type,filing_date,status,last_updated,initiator_type,initiators,committee,committees,convocation
7258,"Проект Закону про внесення змін до Закону України ""Про Державний бюджет України на 2017 рік""",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62830,law,2017-11-06,Закон підписано,2017-11-30,deputy,"51,19537",Комітет з питань бюджету,"Комітет з питань будівництва, містобудування і житлово-комунального господарства|Комітет з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи|Комітет з питань європейської інтеграції|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань національної безпеки і оборони|Комітет з питань охорони здоровʼя|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",Верховна Рада 8
0169,Проект Закону про ратифікацію Угоди (у формі обміну нотами) між Україною та Королівством Нідерланди про продовження до 1 серпня 2018 року строку дії Угоди між Україною та Королівством Нідерланди про Міжнародну місію захисту розслідування від 28 липня 2014 року,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62814,law,2017-10-30,Закон підписано,2017-12-12,president,325,Комітет з питань європейської інтеграції,Комітет з питань бюджету|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань національної безпеки і оборони|Комітет у закордонних справах,Верховна Рада 8
7242,"Проект Закону про внесення змін до Закону України ""Про Державну спеціальну службу транспорту"" щодо статусу Державної спеціальної служби транспорту",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62810,law,2017-10-27,Закон підписано,2018-01-11,president,325,Комітет з питань національної безпеки і оборони,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань транспорту,Верховна Рада 8
6016-д,Проект Закону про аудит фінансової звітності та аудиторську діяльність,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62776,law,2017-10-23,Закон підписано,2018-02-02,deputy,"26315,64,72,21022,26321,22045,19288,21822,349,26310",Комітет з питань податкової та митної політики,Комітет з питань бюджету|Комітет з питань економічної політики|Комітет з питань європейської інтеграції|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя|Комітет з питань фінансової політики і банківської діяльності,Верховна Рада 8
6005-д,Проект Закону про внесення змін до Податкового кодексу України щодо стабілізації розрахунків на Оптовому ринку електричної енергії України,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62723,law,2017-10-12,Закон підписано,2017-11-30,deputy,"22207,26310",Комітет з питань податкової та митної політики,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань промислової політики та підприємництва",Верховна Рада 8
0167,Проект Закону про приєднання України до Регіональної конвенції про пан-євро-середземноморські преференційні правила походження,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62726,law,2017-10-12,Закон підписано,2017-11-30,president,325,Комітет у закордонних справах,"Комітет з питань аграрної політики та земельних відносин|Комітет з питань бюджету|Комітет з питань економічної політики|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань податкової та митної політики|Комітет з питань промислової політики та підприємництва|Комітет з питань транспорту",Верховна Рада 8
0164,Проект Закону про приєднання України до Статуту Міжнародного агентства з відновлювальних джерел енергії (IRENA),http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62668,law,2017-10-05,Закон підписано,2017-12-26,president,325,Комітет у закордонних справах,"Комітет з питань будівництва, містобудування і житлово-комунального господарства|Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки",Верховна Рада 8
7164,Проект Закону про створення необхідних умов для мирного врегулювання ситуації в окремих районах Донецької та Луганської областей,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62641,law,2017-10-04,Закон підписано,2017-10-07,president,325,Комітет з питань національної безпеки і оборони,"Комітет з питань бюджету|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя|Комітет у закордонних справах",Верховна Рада 8
7163,Проект Закону про особливості державної політики із забезпечення державного суверенітету України над тимчасово окупованими територіями в Донецькій та Луганській областях,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62638,law,2017-10-04,Закон підписано,2018-02-21,president,325,Комітет з питань національної безпеки і оборони,"Комітет з питань бюджету|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя|Комітет у закордонних справах|Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю",Верховна Рада 8
7160,"Проект Закону про внесення змін до Закону України ""Про прокуратуру"" (щодо оптимізації чисельності працівників органів прокуратури)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62631,law,2017-10-03,Закон підписано,2017-12-26,deputy,"26325,163,300,340",Комітет з питань законодавчого забезпечення правоохоронної діяльності,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції,Верховна Рада 8
